hostname,DevicePath,FullPath,Drive,FilePath,FileName,FileExtension,Username,SecurityID,SecurityType,SizeInBytes,Created,Modified,Accessed,Changed,FilenameCreated,FilenameModified,FilenameAccessed,FilenameChanged,FileAttributes,INode,Md5sum,Sha1sum,Sha256sum
win7-hx-api-mb,\Device\HarddiskVolume2,C:\ProgramData\VMware\VMware Tools\Unity Filters\vistasidebar.txt,C,ProgramData\VMware\VMware Tools\Unity Filters,vistasidebar.txt,txt,NT AUTHORITY\SYSTEM,S-1-5-18,SidTypeUser,907,2016-02-16T15:11:56Z,2016-02-16T15:11:56Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,Archive NotContentIndexed,59035,473de85b0cdfb77f194a6fd8666ae027,2d12668bfb7d3aa4d3660bc8f7869c13b5fbccc4,2fb1ad37911ba43957221214de441f31a46e52e162ceee2eb28067262cb984c6
win7-hx-api-mb,\Device\HarddiskVolume2,C:\ProgramData\VMware\VMware Tools\Unity Filters\visualstudio2005.txt,C,ProgramData\VMware\VMware Tools\Unity Filters,visualstudio2005.txt,txt,NT AUTHORITY\SYSTEM,S-1-5-18,SidTypeUser,152,2016-02-16T15:11:56Z,2016-02-16T15:11:56Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,Archive NotContentIndexed,59036,7ae93b0dd4675fcc193ebcbc3c4ccc8f,c4e5d671f58a56d974eff87e2e516490e8b77ecd,3ed07a6243df1669392ba730f8d628e00dcd3850a558cd163cb09450ff936fea
win7-hx-api-mb,\Device\HarddiskVolume2,C:\ProgramData\VMware\VMware Tools\Unity Filters\vmwarefilters.txt,C,ProgramData\VMware\VMware Tools\Unity Filters,vmwarefilters.txt,txt,NT AUTHORITY\SYSTEM,S-1-5-18,SidTypeUser,3084,2016-02-16T15:11:56Z,2016-02-16T15:11:56Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,Archive NotContentIndexed,59037,c03d4ce9989110f5b572132c0b121fcf,5c513fb4c2b72879717e42c962c3565596b9230a,c73874b2abccb3754634e65c80500d7c2ebafd59f2df51af028df75f45490a25
win7-hx-api-mb,\Device\HarddiskVolume2,C:\ProgramData\VMware\VMware Tools\Unity Filters\win7gadgets.txt,C,ProgramData\VMware\VMware Tools\Unity Filters,win7gadgets.txt,txt,NT AUTHORITY\SYSTEM,S-1-5-18,SidTypeUser,399,2016-02-16T15:11:56Z,2016-02-16T15:11:56Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,Archive NotContentIndexed,59041,4eece22d169c4362e06d71e6893b23a5,3232a741d4e8b689bfce3c372734572c44484082,9b0a6b6fcf76373df988d5c626a07f989f7a372ebf006581ecd55eb4731806b2
win7-hx-api-mb,\Device\HarddiskVolume2,C:\ProgramData\FireEye\xagt\exts\MalwareProtection\sandbox\content\69470\Plugins\update.txt,C,ProgramData\FireEye\xagt\exts\MalwareProtection\sandbox\content\69470\Plugins,update.txt,txt,BUILTIN\Administrators,S-1-5-32-544,SidTypeAlias,112,2017-10-09T20:45:56Z,2017-10-09T20:46:18Z,2017-10-09T20:46:18Z,2017-10-09T20:46:18Z,2017-10-09T20:46:18Z,2017-10-09T20:46:18Z,2017-10-09T20:46:18Z,2017-10-09T20:46:18Z,Archive NotContentIndexed,66481,d26854737ed05bf71bd4cce4a946187b,b808558a916e7cc5570413bb8d97e6ea947a661e,692fa5b66071ee6e41c8a42aa34c28f2471ccc9259968ce49aa9d2ab150796b7
win7-hx-api-mb,\Device\HarddiskVolume2,C:\Users\admin\AppData\Roaming\Microsoft\Windows\Cookies\Low\B27PFQ47.txt,C,Users\admin\AppData\Roaming\Microsoft\Windows\Cookies\Low,B27PFQ47.txt,txt,WIN7-HX-API-MB\admin,S-1-5-21-3934999329-4244921433-2181062158-1000,SidTypeUser,204,2017-04-17T21:08:21Z,2017-04-17T21:08:21Z,2017-04-17T21:08:21Z,2017-04-17T21:08:21Z,2017-04-17T21:08:21Z,2017-04-17T21:08:21Z,2017-04-17T21:08:21Z,2017-04-17T21:08:21Z,Archive NotContentIndexed,42853,23346270d5ac8a2bb0479ca062916b87,5a0d169cb00c0b10081c8a6f5b7bed83e2fc0a8f,a30f81d44980c091284426ab222718a3c3e94f12c6868e67f706f320779e6c1c
win7-hx-api-mb,\Device\HarddiskVolume2,C:\Users\admin\AppData\Roaming\Microsoft\Windows\Cookies\Low\FSRLDE39.txt,C,Users\admin\AppData\Roaming\Microsoft\Windows\Cookies\Low,FSRLDE39.txt,txt,WIN7-HX-API-MB\admin,S-1-5-21-3934999329-4244921433-2181062158-1000,SidTypeUser,117,2017-04-27T19:10:05Z,2017-04-27T19:10:05Z,2017-04-27T19:10:05Z,2017-04-27T19:10:05Z,2017-04-27T19:10:05Z,2017-04-27T19:10:05Z,2017-04-27T19:10:05Z,2017-04-27T19:10:05Z,Archive NotContentIndexed,42855,ea9edc0b02f247af80586f8e4123a13c,9fa3cc02fe7709650596d4a821ae7db87fe9f3a6,82143b1e5f1a802ebcecf11125f3780f73a97fc196ab91b920a4159c1a8787ce
win7-hx-api-mb,\Device\HarddiskVolume2,C:\Users\admin\AppData\Roaming\Microsoft\Windows\Cookies\Low\AJHAI6JR.txt,C,Users\admin\AppData\Roaming\Microsoft\Windows\Cookies\Low,AJHAI6JR.txt,txt,WIN7-HX-API-MB\admin,S-1-5-21-3934999329-4244921433-2181062158-1000,SidTypeUser,532,2017-04-27T19:10:05Z,2017-04-27T19:10:05Z,2017-04-27T19:10:05Z,2017-04-27T19:10:05Z,2017-04-27T19:10:05Z,2017-04-27T19:10:05Z,2017-04-27T19:10:05Z,2017-04-27T19:10:05Z,Archive NotContentIndexed,42856,a56e2b9275756d978b7f5493bfedf677,3a28b0b6778408fda9d51c09b1a6ed2be6c8ceff,69cd7ab2f26877815e2559ab4e18bb4c0f5b27f3aa49d427e859eb8db82d89e7
win7-hx-api-mb,\Device\HarddiskVolume2,C:\Users\admin\AppData\Roaming\Microsoft\Windows\Cookies\Low\CD2X7WH5.txt,C,Users\admin\AppData\Roaming\Microsoft\Windows\Cookies\Low,CD2X7WH5.txt,txt,WIN7-HX-API-MB\admin,S-1-5-21-3934999329-4244921433-2181062158-1000,SidTypeUser,223,2017-04-17T21:08:29Z,2017-04-17T21:08:29Z,2017-04-17T21:08:29Z,2017-04-17T21:08:29Z,2017-04-17T21:08:29Z,2017-04-17T21:08:29Z,2017-04-17T21:08:29Z,2017-04-17T21:08:29Z,Archive NotContentIndexed,42871,f703832dbda131bdecc727975e694058,5ec12ea635b9f39b75a8ee6a555f994e1b08df85,b93b6cdc4e0ac4ac1884145ec6e1aa1403e5724c9377c36b3b3d0eba4169eeae
win7-hx-api-mb,\Device\HarddiskVolume2,C:\Users\admin\AppData\Roaming\Microsoft\Windows\Cookies\Low\31FQ59LV.txt,C,Users\admin\AppData\Roaming\Microsoft\Windows\Cookies\Low,31FQ59LV.txt,txt,WIN7-HX-API-MB\admin,S-1-5-21-3934999329-4244921433-2181062158-1000,SidTypeUser,823,2017-04-17T21:08:55Z,2017-04-17T21:08:55Z,2017-04-17T21:08:55Z,2017-04-17T21:08:55Z,2017-04-17T21:08:55Z,2017-04-17T21:08:55Z,2017-04-17T21:08:55Z,2017-04-17T21:08:55Z,Archive NotContentIndexed,45928,a192bdf630561eb01cb6f860de760927,f01774871a815a88fbef79e31ad4be6e30b50007,6e106b87feff9a13dc5e901c18b21e32df3b991657d3973c5fc00d7aa838c343
